,,Return from Trek,,
<span class="dates-thead">Depart</span>,<span class="dates-thead">Trek Only</span>,<span class="dates-thead">+ 5-Day Safari</span>,<span class="dates-thead">+ 7-Day Safari</span>,<span class="dates-thead">Notes</span>
,,<span class="table-year">2013</span>,,
Dec 14<br/>,"Dec 27<br/>$8,290","Jan 1<br/>$11,280","Jan 3<br/>$12,280",
Dec 26<br/>,"Jan 8<br/>$8,290","Jan 13<br/>$11,280","Jan 15<br/>$12,280",
,,<span class="table-year">2014</span>,,
Jan 7<br/>,"Jan 20<br/>$8,290","Jan 25<br/>$11,280","Jan 27<br/>$12,280",
Jan 22<br/>,"Feb 4<br/>$8,290","Feb 9<br/>$11,280","Feb 11<br/>$12,280",
Feb 4<br/>,"Feb 17<br/>$8,290","Feb 22<br/>$11,280","Feb 24<br/>$12,280",Limited Availability
Feb 12<br/>,"Feb 25<br/>$8,290","Mar 2<br/>$11,280","Mar 4<br/>$12,280",Limited Availability
Feb 20<br/>,"Mar 5<br/>$8,290","Mar 10<br/>$11,280","Mar 12<br/>$12,280",
Mar 5<br/>,"Mar 18<br/>$8,290","Mar 23<br/>$11,280","Mar 25<br/>$12,280",Limited Availability
May 28<br/>,"Jun 10<br/>$8,490","Jun 15<br/>$11,580","Jun 17<br/>$12,580",
Jun 4<br/>,"Jun 17<br/>$8,490","Jun 22<br/>$11,580","Jun 24<br/>$12,580",
Jun 13<br/>,"Jun 26<br/>$8,490","Jul 1<br/>$11,580","Jul 3<br/>$12,580",
Jun 28<br/>,"Jul 11<br/>$8,490","Jul 16<br/>$11,580","Jul 18<br/>$12,580",
Jul 5<br/>,"Jul 18<br/>$8,490","Jul 23<br/>$11,580","Jul 25<br/>$12,580",
Jul 14<br/>,"Jul 27<br/>$8,490","Aug 1<br/>$11,580","Aug 3<br/>$12,580",Limited Availability
Jul 30<br/>,"Aug 12<br/>$8,490","Aug 17<br/>$11,580","Aug 19<br/>$12,580",Limited Availability
Aug 9<br/>,"Aug 22<br/>$8,490","Aug 27<br/>$11,580","Aug 29<br/>$12,580",
Aug 16<br/>,"Aug 29<br/>$8,490","Sep 3<br/>$11,580","Sep 5<br/>$12,580",
Aug 29<br/>,"Sep 11<br/>$8,490","Sep 16<br/>$11,580","Sep 18<br/>$12,580",
Sep 5<br/>,"Sep 18<br/>$8,490","Sep 23<br/>$11,580","Sep 25<br/>$12,580",
Sep 12<br/>,"Sep 25<br/>$8,490","Sep 30<br/>$11,580","Oct 2<br/>$12,580",
Sep 28<br/>,"Oct 11<br/>$8,490","Oct 16<br/>$11,580","Oct 18<br/>$12,580",
Oct 4<br/>,"Oct 17<br/>$8,490","Oct 22<br/>$11,580","Oct 24<br/>$12,580",
Oct 13<br/>,"Oct 26<br/>$8,490","Oct 31<br/>$11,580","Nov 2<br/>$12,580",
Oct 27<br/>,"Nov 9<br/>$8,490","Nov 14<br/>$11,580","Nov 16<br/>$12,580",
Dec 13<br/>,"Dec 26<br/>$8,490","Dec 31<br/>$11,580","Jan 2<br/>$12,580",
Dec 20<br/>,"Jan 2<br/>$8,490","Jan 7<br/>$11,580","Jan 9<br/>$12,580",
Dec 26<br/>,"Jan 8<br/>$8,490","Jan 13<br/>$11,580","Jan 15<br/>$12,580",
,,<span class="table-year">2015</span>,,
Jan 7<br/>,"Jan 20<br/>$8,490","Jan 25<br/>$11,580","Jan 27<br/>$12,580",
Jan 16<br/>,"Jan 29<br/>$8,490","Feb 3<br/>$11,580","Feb 5<br/>$12,580",
Jan 24<br/>,"Feb 6<br/>$8,490","Feb 11<br/>$11,580","Feb 13<br/>$12,580",
Jan 30<br/>,"Feb 12<br/>$8,490","Feb 17<br/>$11,580","Feb 19<br/>$12,580",
Feb 6<br/>,"Feb 19<br/>$8,490","Feb 24<br/>$11,580","Feb 26<br/>$12,580",
Feb 13<br/>,"Feb 26<br/>$8,490","Mar 3<br/>$11,580","Mar 5<br/>$12,580",
Feb 23<br/>,"Mar 8<br/>$8,490","Mar 13<br/>$11,580","Mar 15<br/>$12,580",
Mar 4<br/>,"Mar 17<br/>$8,490","Mar 22<br/>$11,580","Mar 24<br/>$12,580",
Mar 13<br/>,"Mar 26<br/>$8,490","Mar 31<br/>$11,580","Apr 2<br/>$12,580",
Mar 20<br/>,"Apr 2<br/>$8,490","Apr 7<br/>$11,580","Apr 9<br/>$12,580",
